date,equity,cash,holding,shares,weekly_target
2025-04-08,28369.176530325138,2.140816039423,EGIE3,1017,EGIE3
2025-04-09,28957.583673182282,2.140816039423,EGIE3,1017,EGIE3
2025-04-10,28739.655101753713,2.140816039423,EGIE3,1017,EGIE3
2025-04-11,28805.033673182279,2.140816039423,EGIE3,1017,EGIE3
2025-04-14,28857.051546696588,14.978343122394,SBSP3,1372,SBSP3
2025-04-15,28865.033670276913,14.978343122394,SBSP3,1372,SBSP3
2025-04-16,28564.373682084672,14.978343122394,SBSP3,1372,SBSP3
2025-04-17,29019.354726163194,14.978343122394,SBSP3,1372,SBSP3
2025-04-22,29663.132586331711,2.652586331710,JHSF3,6284,JHSF3
2025-04-23,29537.452586331714,2.652586331710,JHSF3,6284,JHSF3
2025-04-24,31988.212586331709,2.652586331710,JHSF3,6284,JHSF3
2025-04-25,31799.692586331708,2.652586331710,JHSF3,6284,JHSF3
2025-04-28,31033.653607984859,5.082179413432,MGLU3,3258,MGLU3
2025-04-29,30971.596465127717,5.082179413432,MGLU3,3258,MGLU3
2025-04-30,28923.710750842005,5.082179413432,MGLU3,3258,MGLU3
2025-05-02,28954.739322270576,5.082179413432,MGLU3,3258,MGLU3
2025-05-05,28815.814160905335,38.959428137714,RENT3,694,RENT3
2025-05-06,28107.419687688103,38.959428137714,RENT3,694,RENT3
2025-05-07,28167.566388244286,38.959428137714,RENT3,694,RENT3
2025-05-08,29377.183366096338,38.959428137714,RENT3,694,RENT3
2025-05-09,27439.123014841669,38.959428137714,RENT3,694,RENT3
2025-05-12,27773.271351264888,38.959428137714,RENT3,694,RENT3
2025-05-13,27933.662552748032,38.959428137714,RENT3,694,RENT3
2025-05-14,26577.020306869763,38.959428137714,RENT3,694,RENT3
2025-05-15,27272.048846630059,38.959428137714,RENT3,694,RENT3
2025-05-16,28000.492220032680,38.959428137714,RENT3,694,RENT3
2025-05-19,28824.226591847280,4.246591847283,LREN3,1602,LREN3
2025-05-20,29320.846591847287,4.246591847283,LREN3,1602,LREN3
2025-05-21,28215.466591847282,4.246591847283,LREN3,1602,LREN3
2025-05-22,28311.586591847288,4.246591847283,LREN3,1602,LREN3
2025-05-23,28199.446591847285,4.246591847283,LREN3,1602,LREN3
2025-05-26,28423.726591847280,4.246591847283,LREN3,1602,LREN3
